GEOID,NAME,pop19,pop10,age19_total,age19_under18,age19_over65,age10_total,age10_under18,age10_over65,race19_total,race19_white,race19_black,race19_aian,race19_asian,race19_nhpi,race19_other,race19_2more,race10_total,race10_white,race10_black,race10_aian,race10_asian,race10_nhpi,race10_other,race10_2more,ethnicity19_total,ethnicity19_nhw,ethnicity19_latino,ethnicity10_total,ethnicity10_nhw,ethnicity10_latino,foreignborn19,foreignborn10,mhi19,mhi10,moc19,moc10,mgr19,mgr10,pown19,pownbase19,pown10,pownbase10,hu18,vac18,hu10,vac10,size19,size10
20,Kansas,2910652,2809329,2910652,711070,449327,2809329,715541,367817,2910652,2455935,170291,24010,85794,2382,71683,100557,2809329,2391786,161768,24422,66119,1625,81140,82469,2910652,2208576,345680,2809329,2220952,276108,207845,177139,59597,49424,956,893,850,671,748123,1129227,765049,1101672,1266378,141829,1222749,121077,2.51,2.48
21,Kentucky,4449052,4285828,4449052,1009306,710138,4285828,1019913,560034,4449052,3868479,358928,9386,65191,3182,43601,100285,4285828,3792514,330764,8794,45604,2674,40178,65300,4449052,3761855,162994,4285828,3724731,117348,171979,130794,50589,41576,795,745,763,601,1166031,1734618,1171606,1676708,1974406,245725,1911822,235114,2.49,2.48
22,Louisiana,4664362,4429940,4664362,1103350,698018,4429940,1105117,537096,4664362,2892275,1502963,26361,80806,1406,65592,94959,4429940,2819074,1405685,27352,67210,1416,50343,58860,4664362,2735887,239164,4429940,2711272,172754,194206,157697,49469,43445,745,709,866,712,1141205,1739497,1120015,1641165,2045554,309533,1910036,268871,2.61,2.62
23,Maine,1335492,1327665,1335492,252498,267568,1327665,281487,203163,1335492,1259522,18468,8660,15109,396,3541,29796,1327665,1268805,13903,7002,13432,438,4132,19953,1335492,1244531,22100,1327665,1258372,17043,47938,43911,57918,46933,1008,952,853,707,404759,559921,402907,551125,739077,182122,714270,163145,2.32,2.34
24,Maryland,6018848,5696423,6018848,1341682,902678,5696423,1362092,677280,6018848,3343003,1799094,16762,378126,3034,272137,206692,5696423,3396216,1665235,16213,304574,2977,178952,132256,6018848,3062363,606482,5696423,3179571,429946,912887,750533,84805,70647,1653,1656,1392,1091,1475149,2205204,1464162,2121047,2437740,245222,2354870,233823,2.67,2.62
25,Massachusetts,6850553,6477096,6850553,1371260,1107089,6477096,1431948,876597,6850553,5348538,522357,14764,452436,2804,286619,223035,6477096,5289078,422303,12584,335906,2281,270865,144079,6850553,4903539,809179,6477096,5013857,584975,1148909,942255,81215,64509,1767,1686,1282,1006,1632765,2617497,1608474,2512552,2882739,280825,2786077,273525,2.52,2.48
26,Michigan,9965265,9952687,9965265,2177878,1666343,9952687,2420974,1316992,9965265,7813755,1374314,53316,311721,3099,117801,291259,9952687,7895340,1401616,54502,242886,2722,144833,210788,9965265,7477400,507353,9952687,7654981,423412,684197,591534,57144,48432,928,1042,871,723,2802699,3935041,2852374,3843997,4580939,671430,4529680,685683,2.47,2.53
27,Minnesota,5563378,5241914,5563378,1295848,858698,5241914,1282078,658163,5563378,4609049,356515,58011,268181,2194,104032,165396,5241914,4539826,257165,55370,204202,2135,75607,107609,5563378,4442126,299556,5241914,4396841,233716,472849,366951,71306,57243,1203,1220,977,759,1564870,2185603,1548127,2085917,2420473,252672,2327948,242031,2.49,2.45
28,Mississippi,2984418,2941991,2984418,713493,461022,2941991,757375,369337,2984418,1743217,1125623,14269,29605,680,30728,40296,2941991,1761910,1088270,13610,24691,636,23428,29446,2984418,1689927,91202,2941991,1722204,69834,70469,63518,45081,37881,654,664,780,648,752841,1104394,765685,1081052,1316108,210532,1255090,174038,2.62,2.64
29,Missouri,6104910,5922314,6104910,1381612,1006725,5922314,1427852,812724,6104910,5015904,701334,27084,120654,8231,71335,160368,5922314,4938222,679062,22829,92147,5201,61101,123752,6104910,4849901,254791,5922314,4818816,198670,255719,216698,55461,46262,917,886,830,667,1611986,2414521,1645022,2349955,2775635,379364,2687610,337655,2.46,2.45
